Date,HFRIFOF,HFRIFWI,SPTR,LBUSTRUU,LEGATRUU,LF93TRUU,USGG10YR
10/31/2011,4885.6576,10579.853,2141.811,1752.07,451.5775,203.85,2.15
11/30/2011,4837.8688,10437.519,2137.077,1750.55,443.6969,200.2,2.01
12/31/2011,4811.1609,10390.772,2158.938,1769.79,446.6889,201.64,1.98
1/31/2012,4897.1368,10679.549,2255.691,1785.33,454.1653,205.16,1.97
2/29/2012,4970.9131,10899.323,2353.232,1784.92,453.8564,205.26,1.97
3/31/2012,4973.2946,10879.963,2430.675,1775.14,450.5883,203.84,2.17
4/30/2012,4960.2579,10824.244,2415.418,1794.82,455.9054,206.22,2.05
5/31/2012,4875.1612,10541.67,2270.25,1811.06,451.2251,203.94,1.8
6/30/2012,4858.1835,10572.013,2363.789,1811.77,453.3819,205.08,1.62
7/31/2012,4896.0525,10663.528,2396.62,1836.76,458.6267,207.5,1.53
8/31/2012,4932.7797,10751.278,2450.598,1837.96,462.5869,209.38,1.68
9/30/2012,4975.873,10892.066,2513.926,1840.49,468.2265,212.01,1.72
10/31/2012,4962.6774,10850.555,2467.508,1844.11,467.5689,211.82,1.75
11/30/2012,4982.2797,10894.546,2481.822,1847.02,467.5198,211.9,1.65
12/31/2012,5041.5408,11051.504,2504.443,1844.39,465.98,211.4,1.72
1/31/2013,5148.839,11329.269,2634.161,1831.49,461.7416,209.68,1.91
2/28/2013,5163.1915,11341.67,2669.919,1840.67,457.3666,207.74,1.98
3/31/2013,5208.9022,11449.204,2770.05,1842.14,456.2051,207.26,1.96
4/30/2013,5251.8094,11521.724,2823.419,1860.78,462.5508,210.24,1.76
5/31/2013,5285.1077,11576.931,2889.464,1827.58,448.7991,204.17,1.93
6/30/2013,5211.4198,11406.938,2850.662,1799.31,443.4867,201.61,2.3
7/31/2013,5264.1741,11554.688,2995.716,1801.77,449.0582,204.23,2.58
8/31/2013,5226.7302,11474.255,2908.955,1792.56,446.7028,203.15,2.74
9/30/2013,5298.4346,11655.224,3000.179,1809.53,455.886,207.3,2.81
10/31/2013,5365.1446,11830.759,3138.09,1824.16,460.3658,209.4737,2.62
11/30/2013,5422.1915,11935.474,3233.72,1817.33,456.5973,207.8683,2.72
12/31/2013,5493.0273,12060.712,3315.585,1807.06,453.871,206.7721,2.9
1/31/2014,5471.4755,11995.877,3200.952,1833.76,458.6699,208.8377,2.86
2/28/2014,5559.9334,12231.624,3347.376,1843.51,465.0965,211.878,2.71
3/31/2014,5523.8717,12195.548,3375.513,1840.37,464.7806,211.7974,2.72
4/30/2014,5489.2515,12169.304,3400.465,1855.9,470.0404,214.2058,2.71
5/31/2014,5554.1266,12281.623,3480.288,1877.03,472.8242,215.5155,2.56
6/30/2014,5609.1679,12441.484,3552.182,1878,476.265,217.1375,2.6
7/31/2014,5589.2265,12363.557,3503.194,1873.29,471.9721,215.1468,2.54
8/31/2014,5635.4459,12517.543,3643.339,1893.97,474.5599,216.3411,2.42
9/30/2014,5624.7251,12402.315,3592.246,1881.11,461.3169,210.2081,2.53
10/31/2014,5589.5896,12352.733,3679.988,1899.6,461.3809,210.3034,2.3
11/30/2014,5657.5495,12449.44,3778.96,1913.08,459.6965,209.4625,2.33
12/31/2014,5677.9688,12420.406,3769.44,1914.87,456.5313,207.7607,2.21
1/31/2015,5685.4517,12414.986,3656.284,1955.02,455.8092,207.3486,1.88
2/28/2015,5781.751,12648.123,3866.417,1936.64,452.1183,205.9621,1.98
3/31/2015,5819.7686,12694.852,3805.271,1945.63,447.7604,203.8424,2.04
4/30/2015,5834.2781,12815.591,3841.776,1938.65,452.5223,206.2574,1.94
5/31/2015,5892.8521,12890.912,3891.178,1933.98,444.4316,202.6922,2.2
6/30/2015,5831.7387,12732.392,3815.853,1912.89,442.485,201.7345,2.36
7/31/2015,5843.0345,12667.396,3895.8,1926.19,443.4764,202.0546,2.32
8/31/2015,5726.4227,12365.021,3660.751,1923.42,443.9924,202.0644,2.17
9/30/2015,5621.8785,12193.928,3570.171,1936.43,446.2552,202.7235,2.17
10/31/2015,5669.8682,12404.882,3871.33,1936.76,447.1977,203.5008,2.07
11/30/2015,5686.8524,12424.295,3882.843,1931.64,439.7938,200.108,2.26
12/31/2015,5662.867,12281.044,3821.603,1925.4,442.1315,200.9256,2.24
1/31/2016,5512.478,11962.316,3631.959,1951.89,445.963,202.4174,2.09
2/29/2016,5446.247,11958.322,3627.059,1965.74,455.8935,206.7657,1.78
3/31/2016,5486.242,12206.871,3873.112,1983.77,468.2131,212.7369,1.89
4/30/2016,5514.848,12332.205,3888.127,1991.39,474.4409,215.8182,1.81
5/31/2016,5542.566,12377.544,3957.95,1991.9,468.0762,213.0168,1.81
6/30/2016,5516.774,12428.257,3968.206,2027.69,481.7451,219.1267,1.64
7/31/2016,5599.799,12661.828,4114.508,2040.51,485.3764,220.9798,1.5
8/31/2016,5624.584,12716.452,4120.285,2038.18,483.0188,220.1762,1.56
9/30/2016,5649.274,12796.902,4121.064,2036.98,485.6783,221.4325,1.63
10/31/2016,5634.914,12726.171,4045.891,2021.4,472.1983,215.6313,1.76
11/30/2016,5651.684,12838.385,4195.73,1973.59,453.4371,207.2707,2.14
12/31/2016,#N/A,12838.385,4278.664,1976.37,451.3539,206.6405,2.4443
